objectid,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,geometry,time_rjz01,distance_rjz01,time_rvvkc,distance_rvvkc,time_rvv09,distance_rvv09,time_rn707,distance_rn707,time_rwf03,distance_rwf03,time_rpa02,distance_rpa02,time_rj122,distance_rj122,time_rvv01,distance_rvv01,time_rwftw,distance_rwftw
15547,E01016016,Medway 015A,Medway 015A,183902.5936,2542.024376,"POLYGON ((575835.0114845962 167542.9856801253, 575926.442388877 167443.9125444049, 575945.2590374287 167509.9706905494, 576104.701414993 167487.331521869, 576101.7828476036 167457.5054070231, 576189.0063203886 167444.98791845, 576171.2480976837 167407.9200149524, 576028.5886349884 167429.0911303543, 575984.011155084 167383.9903545968, 575975.0750264913 167336.8686875996, 576052.5906935541 167242.7786302202, 576044.1851445707 167151.3642682819, 576046.5173794637 167043.5756864878, 575944.2542363855 167103.4212276325, 575943.7690395028 167181.9940032903, 575888.065721439 167157.2924865255, 575837.3423496215 167068.521805578, 575762.8948366905 167091.007781423, 575753.2524115228 167070.1783463703, 575652.0232187173 167105.9969162149, 575654.5410006314 167114.0027198213, 575602.9766122592 167143.8957497287, 575619.1603967957 167284.7872043735, 575567.7471563781 167348.5984593962, 575568.5927115164 167417.4867200361, 575605.5809659265 167419.3107292025, 575614.4594658948 167485.9090310885, 575616.1621806889 167498.6847039211, 575629.187102393 167490.7669196276, 575628.0159417753 167499.9866803398, 575662.5021880229 167559.0951642545, 575776.6850780882 167510.2635331487, 575807.878365193 167519.1743157771, 575758.0574860263 167562.5061096696, 575835.0114845962 167542.9856801253))",46,48.3,34,47.3,53,70.4,19,21.4,13,15.3,4,3.2,47,50.5,30,44.9,33,41.1
15548,E01016017,Medway 015B,Medway 015B,299206.3978,3807.758696,"POLYGON ((575482.7944574856 167826.2545003036, 575706.7230268347 167689.5867136999, 575945.2590374287 167509.9706905494, 575926.442388877 167443.9125444049, 575835.0114845962 167542.9856801253, 575758.0574860263 167562.5061096696, 575807.878365193 167519.1743157771, 575776.6850780882 167510.2635331487, 575662.5021880229 167559.0951642545, 575628.0159417753 167499.9866803398, 575629.187102393 167490.7669196276, 575616.1621806889 167498.6847039211, 575614.4594658948 167485.9090310885, 575605.5809659265 167419.3107292025, 575568.5927115164 167417.4867200361, 575567.7471563781 167348.5984593962, 575619.1603967957 167284.7872043735, 575602.9766122592 167143.8957497287, 575535.6951782797 167143.743498205, 575503.4371840478 167025.7217200499, 575443.2144474135 167042.1708538522, 575409.8550680001 167056.072206187, 575460.3455639667 167203.9847544456, 575433.5298567846 167217.1863505936, 575475.2776820243 167318.6140032001, 575405.844355198 167307.8241039306, 575290.0254972992 167357.48969994, 575211.2878015266 167405.3794891569, 575101.6584581188 167221.0861285946, 575054.8373856251 167250.386202954, 575028.287940819 167419.2397025835, 575064.4673058444 167426.3626922435, 575139.0853156134 167584.9844851927, 575230.0830914995 167614.1558165071, 575251.86948638 167664.163670908, 575194.3760360176 167676.4334409517, 575115.3947000697 167696.9190685084, 575169.2059805091 167730.715263175, 575245.5169897972 167727.3252391272, 575281.3277385059 167798.1205596587, 575482.7944574856 167826.2545003036))",45,47.8,34,47.1,53,70.1,18,20.8,13,15.5,4,2.9,47,50,30,45.1,33,41.4
15549,E01016018,Medway 022A,Medway 022A,128187.7729,2566.411941,"POLYGON ((576200.1132050961 167172.6702492009, 576262.3022391677 167126.1229338386, 576242.5701153122 167088.092042258, 576247.5642885577 167047.1285212418, 576331.3794052687 167016.6877784042, 576347.0519079377 166954.0314246208, 576446.0100395905 166918.0096803581, 576394.2572395706 166802.8650807128, 576355.7327314108 166825.6911270474, 576214.8552282259 166900.6565657028, 576190.1016927531 166924.996581797, 576149.1197446772 166927.986277568, 576135.4444047972 166891.9354901128, 576034.9285187589 166951.4558942716, 576027.4818297795 166938.796306743, 575959.1263471744 166965.2460407675, 575954.275968103 166915.477778399, 575875.8602908237 166890.3432873969, 575859.6990019265 166864.1131359288, 575818.3959665279 166876.0795124792, 575807.7130388273 166806.4599190372, 575775.9107318155 166820.9452522717, 575813.6235494155 167013.649630632, 575857.01924434 167033.0001547213, 575837.3423496215 167068.521805578, 575888.065721439 167157.2924865255, 575943.7690395028 167181.9940032903, 575944.2542363855 167103.4212276325, 576046.5173794637 167043.5756864878, 576044.1851445707 167151.3642682819, 576108.9478329814 167134.3760321005, 576166.22799529 167172.9911076253, 576100.9696065523 167243.4937660469, 576134.2863983803 167280.941753264, 576198.6143364336 167251.2088512156, 576200.1132050961 167172.6702492009))",48,55.2,34,50.3,53,73.4,21,28.2,12,15,4,2.6,49,57.4,29,44.6,32,40.9
15550,E01016019,Medway 015C,Medway 015C,159064.9684,2259.095938,"POLYGON ((576215.1824838391 167474.8940415892, 576417.9233953297 167454.3188417116, 576453.7996429754 167458.6788149301, 576506.0074279073 167313.9997905935, 576474.7583267235 167190.1355734824, 576500.7591878362 167122.2554202069, 576406.0187587421 167068.9072615092, 576391.4390474657 166999.1182218503, 576331.3794052687 167016.6877784042, 576247.5642885577 167047.1285212418, 576242.5701153122 167088.092042258, 576262.3022391677 167126.1229338386, 576200.1132050961 167172.6702492009, 576198.6143364336 167251.2088512156, 576134.2863983803 167280.941753264, 576100.9696065523 167243.4937660469, 576166.22799529 167172.9911076253, 576108.9478329814 167134.3760321005, 576044.1851445707 167151.3642682819, 576052.5906935541 167242.7786302202, 575975.0750264913 167336.8686875996, 575984.011155084 167383.9903545968, 576028.5886349884 167429.0911303543, 576171.2480976837 167407.9200149524, 576189.0063203886 167444.98791845, 576101.7828476036 167457.5054070231, 576104.701414993 167487.331521869, 576215.1824838391 167474.8940415892))",46,48.6,33,46.4,52,69.5,19,21.6,13,15.5,3,2.3,48,50.8,30,45.1,33,41.3
15551,E01016020,Medway 021A,Medway 021A,209113.7823,2521.692345,"POLYGON ((575054.8373856251 167250.386202954, 575101.6584581188 167221.0861285946, 575211.2878015266 167405.3794891569, 575290.0254972992 167357.48969994, 575405.844355198 167307.8241039306, 575361.737652642 167208.0353436032, 575327.9864019562 167126.3191282639, 575292.0231319645 167130.5038961744, 575274.7965913084 167088.7307779518, 575302.7355157656 167065.2114304843, 575265.0015484223 166936.7526988781, 575182.4229899044 166976.5119081387, 575172.0376160484 166954.9996115101, 575098.3344562383 166974.9722028567, 575063.8849393463 166829.0344716599, 574996.7330316211 166825.6574274267, 575001.0233288726 166995.1273359813, 574956.2315362784 167013.9322414528, 574894.3591083826 166976.8545533197, 574835.9848877876 167057.1178765115, 574843.3563309247 167245.9368852818, 574827.8504237254 167442.8465973043, 574914.0968835851 167485.7671005296, 575028.287940819 167419.2397025835, 575054.8373856251 167250.386202954))",45,47.9,33,50.1,53,73.2,19,20.9,12,14.8,5,3.7,47,50.1,29,44.5,32,40.7
15552,E01016021,Medway 021B,Medway 021B,161122.4283,2239.34401,"POLYGON ((575652.0232187173 167105.9969162149, 575753.2524115228 167070.1783463703, 575762.8948366905 167091.007781423, 575837.3423496215 167068.521805578, 575857.01924434 167033.0001547213, 575813.6235494155 167013.649630632, 575775.9107318155 166820.9452522717, 575807.7130388273 166806.4599190372, 575818.3959665279 166876.0795124792, 575859.6990019265 166864.1131359288, 575910.4281611159 166815.137114418, 575914.8228686308 166735.8279403498, 575926.3325616193 166638.191449859, 575907.4595572925 166595.2718734508, 575874.602600934 166587.0739992288, 575853.0111977319 166589.9147910763, 575719.0282576503 166576.0156125468, 575674.0293383378 166594.014753351, 575653.4998886356 166675.2067901689, 575555.9304597756 166688.01985635, 575482.0234574556 166692.9253185691, 575485.8608399094 166728.6170826904, 575363.2487551909 166758.7864200583, 575392.6917345179 166906.0953915867, 575402.6985155056 166903.3665358606, 575462.1002088834 166886.8404043368, 575475.9704057449 166917.688387049, 575500.0373681064 166876.0049693664, 575577.0286234024 166855.0050824169, 575652.0232187173 167105.9969162149))",47,54.7,33,49.8,53,72.9,21,27.7,12,14.5,5,3.7,49,56.9,29,44.1,32,40.4
15553,E01016022,Medway 021C,Medway 021C,142038.5913,2566.693893,"POLYGON ((575460.3455639667 167203.9847544456, 575409.8550680001 167056.072206187, 575443.2144474135 167042.1708538522, 575503.4371840478 167025.7217200499, 575535.6951782797 167143.743498205, 575602.9766122592 167143.8957497287, 575654.5410006314 167114.0027198213, 575652.0232187173 167105.9969162149, 575577.0286234024 166855.0050824169, 575500.0373681064 166876.0049693664, 575475.9704057449 166917.688387049, 575462.1002088834 166886.8404043368, 575402.6985155056 166903.3665358606, 575392.6917345179 166906.0953915867, 575363.2487551909 166758.7864200583, 575277.7878744738 166771.6475496498, 575272.325484841 166743.0695247591, 575204.5683404664 166742.7812017965, 575093.9180803436 166765.333087065, 575106.3671688873 166798.0482351154, 575115.6665312448 166819.3946860073, 575063.8849393463 166829.0344716599, 575098.3344562383 166974.9722028567, 575172.0376160484 166954.9996115101, 575182.4229899044 166976.5119081387, 575265.0015484223 166936.7526988781, 575302.7355157656 167065.2114304843, 575274.7965913084 167088.7307779518, 575292.0231319645 167130.5038961744, 575327.9864019562 167126.3191282639, 575361.737652642 167208.0353436032, 575405.844355198 167307.8241039306, 575475.2776820243 167318.6140032001, 575433.5298567846 167217.1863505936, 575460.3455639667 167203.9847544456))",48,54.9,34,50.1,53,73.1,21,28,13,14.8,5,3.9,49,57.1,29,44.4,32,40.6
15554,E01016023,Medway 022B,Medway 022B,166493.8903,2127.418422,"POLYGON ((576015.0174017192 166807.0089132367, 576046.0675824482 166804.1441665547, 576120.6464786732 166812.1002492646, 576131.548905193 166844.8091425627, 576231.2986819407 166782.7848311896, 576338.8332059805 166713.7664908041, 576365.2367278591 166669.6408108722, 576295.0109459241 166638.0162883311, 576289.0122806246 166477.0219788498, 576197.0210245542 166359.5296838365, 576214.0601906296 166272.4028628932, 576120.7743859028 166362.5521877804, 576080.0867578548 166351.673365729, 576051.8490361427 166415.8829475736, 576002.0207340535 166399.0232914714, 575995.0625905097 166536.2284002711, 575917.0246481861 166560.2391598288, 575907.4595572925 166595.2718734508, 575926.3325616193 166638.191449859, 575914.8228686308 166735.8279403498, 575910.4281611159 166815.137114418, 575859.6990019265 166864.1131359288, 575875.8602908237 166890.3432873969, 575954.275968103 166915.477778399, 575959.1263471744 166965.2460407675, 576027.4818297795 166938.796306743, 576015.0174017192 166807.0089132367))",47,54.8,33,50,53,73,21,27.8,12,14.7,4,3.1,49,57,29,44.3,32,40.5
15555,E01016024,Medway 022C,Medway 022C,194388.0355,3235.220358,"POLYGON ((576593.3894490366 167062.318231828, 576696.0118578915 166991.9997642215, 576675.3359243753 166955.7363669706, 576671.8320775884 166929.26716089, 576690.137599565 166879.7064022668, 576653.7714974578 166844.3095057411, 576543.2882857397 166712.2506877838, 576531.2502715304 166695.4209033895, 576400.9583028101 166464.4979679367, 576375.9500006884 166468.9150741028, 576339.200162872 166367.7924903781, 576227.8139961492 166241.271038641, 576214.0601906296 166272.4028628932, 576197.0210245542 166359.5296838365, 576289.0122806246 166477.0219788498, 576295.0109459241 166638.0162883311, 576365.2367278591 166669.6408108722, 576338.8332059805 166713.7664908041, 576231.2986819407 166782.7848311896, 576131.548905193 166844.8091425627, 576120.6464786732 166812.1002492646, 576046.0675824482 166804.1441665547, 576015.0174017192 166807.0089132367, 576027.4818297795 166938.796306743, 576034.9285187589 166951.4558942716, 576135.4444047972 166891.9354901128, 576149.1197446772 166927.986277568, 576190.1016927531 166924.996581797, 576214.8552282259 166900.6565657028, 576355.7327314108 166825.6911270474, 576394.2572395706 166802.8650807128, 576446.0100395905 166918.0096803581, 576347.0519079377 166954.0314246208, 576331.3794052687 167016.6877784042, 576391.4390474657 166999.1182218503, 576406.0187587421 167068.9072615092, 576500.7591878362 167122.2554202069, 576593.3894490366 167062.318231828))",48,55.1,33,46.7,52,69.7,21,28.1,12,14.9,3,2.5,49,57.3,29,44.6,32,40.8
15556,E01016025,Medway 027A,Medway 027A,491408.7348,2947.841753,"POLYGON ((575674.0293383378 166594.014753351, 575719.0282576503 166576.0156125468, 575853.0111977319 166589.9147910763, 575874.602600934 166587.0739992288, 575907.4595572925 166595.2718734508, 575917.0246481861 166560.2391598288, 575995.0625905097 166536.2284002711, 576002.0207340535 166399.0232914714, 576051.8490361427 166415.8829475736, 576080.0867578548 166351.673365729, 576120.7743859028 166362.5521877804, 576214.0601906296 166272.4028628932, 576227.8139961492 166241.271038641, 576184.9099825685 166170.0493439088, 576167.0824032273 166088.8160096193, 576048.8336604384 165947.3304643997, 575651.5685598847 165678.3973879882, 575638.9149667684 165676.4612013248, 575493.918495446 165810.1277361996, 575448.5945582142 165862.8774143294, 575466.0526098162 166058.0288737857, 575476.0615138034 166151.4753187967, 575483.727803849 166251.0968575436, 575553.1720287253 166652.1931033974, 575555.9304597756 166688.01985635, 575653.4998886356 166675.2067901689, 575674.0293383378 166594.014753351))",47,54.2,33,49.3,52,72.4,20,27.2,11,14,5,4.2,48,56.4,28,43.6,31,39.9
