from_postcode,to_postcode,from_lat,from_long,to_lat,to_long,from_loc_identified,to_loc_identified,route_locs_identified,time_min,distance_km,imputed,no_route
E01004796, M139WL,53.57983553,-2.392774758,53.46243503,-2.22771102, True, True, True,20,26,0,0
E01004972, M139WL,53.53828621,-2.275662959,53.46243503,-2.22771102, True, True, True,14,11.2,0,0
E01006086, M139WL,53.37098088,-2.357769423,53.46243503,-2.22771102, True, True, True,20,25.6,0,0
E01005179, M139WL,53.44675302,-2.253042082,53.46243503,-2.22771102, True, True, True,7,4.3,0,0
E01006126, M139WL,53.45135249,-2.396165222,53.46243503,-2.22771102, True, True, True,16,18.8,0,0
E01006172, M139WL,53.42508952,-2.346531039,53.46243503,-2.22771102, True, True, True,15,12.6,0,0
E01005104, M139WL,53.526913,-2.234965896,53.46243503,-2.22771102, True, True, True,13,10.1,0,0
E01033688, M139WL,53.47830917,-2.207726241,53.46243503,-2.22771102, True, True, True,4,3.6,0,0
E01005735, M139WL,53.50476136,-2.414936575,53.46243503,-2.22771102, True, True, True,13,15.7,0,0
E01005029, M139WL,53.58416876,-2.29204863,53.46243503,-2.22771102, True, True, True,22,30.4,0,0
E01004874, M139WL,53.5461261,-2.435171679,53.46243503,-2.22771102, True, True, True,18,24.6,0,0
E01005670, M139WL,53.51879238,-2.331474869,53.46243503,-2.22771102, True, True, True,13,11.3,0,0
E01005376, M139WL,53.5212444,-2.141889422,53.46243503,-2.22771102, True, True, True,14,16.5,0,0
E01022781, M139WL,50.84219924,-1.240996986,53.46243503,-2.22771102, True, True, True,215,372.6,0,0
E01005596, M139WL,53.63630746,-2.122085824,53.46243503,-2.22771102, True, True, True,27,33.9,0,0
E01005736, M139WL,53.50387177,-2.425089517,53.46243503,-2.22771102, True, True, True,14,16.1,0,0
E01006213, M139WL,53.52451462,-2.598113654,53.46243503,-2.22771102, True, True, True,29,34.3,0,0
E01006115, M139WL,53.45337081,-2.268471395,53.46243503,-2.22771102, True, True, True,5,3.4,0,0
E01004774, M139WL,53.6032853,-2.437043866,53.46243503,-2.22771102, True, True, True,22,27.6,0,0
E01005950, M139WL,53.48609,-2.10830096,53.46243503,-2.22771102, True, True, True,13,12.4,0,0
E01005018, M139WL,53.64195513,-2.326511224,53.46243503,-2.22771102, True, True, True,25,37.1,0,0
E01005059, M139WL,53.57904979,-2.293931434,53.46243503,-2.22771102, True, True, True,21,26,0,0
E01006351, M139WL,53.54020739,-2.664699276,53.46243503,-2.22771102, True, True, True,30,45.4,0,0
E01005337, M139WL,53.55136375,-2.134685144,53.46243503,-2.22771102, True, True, True,18,20,0,0
E01006253, M139WL,53.55924228,-2.660332929,53.46243503,-2.22771102, True, True, True,34,48.9,0,0
E01005519, M139WL,53.64961437,-2.108221305,53.46243503,-2.22771102, True, True, True,29,35.7,0,0
E01005297, M139WL,53.44832166,-2.259737,53.46243503,-2.22771102, True, True, True,6,3.8,0,0
E01004877, M139WL,53.55755492,-2.44371242,53.46243503,-2.22771102, True, True, True,18,25.1,0,0
